"Mturk_id","Condition","decay_value","SyncRate_Value"
"A2871R3LEPWMMK","1-Sided-DT_FI",0.36,0.76
"A28FMRMS9TMEOZ","1-Sided-ER_FI",1.04,0.8
"A28FMRMS9TMEOZ","1-Sided-psse",2.8,0.8
"A28HB7240OFGEW","2-Sided-NN",0.26,0.7
"A28SYXQL3YOKVL","1-Sided-CogSig",2.85,0.62
"A28SYXQL3YOKVL","2-SidedDT",1.08,0.74
"A28SYXQL3YOKVL","NS",0.15,0.78
"A28T38MOUG43YD","1-Sided-ER_FI",0.92,0.94
"A28T38MOUG43YD","1-Sided-psse",2.23,0.68
"A28ZPY6D5AS7GZ","1-Sided-DT_FI",0.11,0.64
"A2A1FS0KVLJ9ZT","1-Sided-ER_FI",1.91,0.68
"A2A6FH0F7LD9ND","1-Sided-CogSig",2.94,0.74
"A2A6FH0F7LD9ND","NS",0.49,0.9
"A2AAFWAAS9C1QC","2-Sided-NN",1.35,0.82
"A2AEY7AGQYBN6X","2-Sided-NN",2.21,0.56
"A2AG45K4ULNBHF","1-Sided-ER_FI",0.71,0.82
"A2AK649KPZ2IZN","1-Sided-psse",2.16,0.8
"A2B6WQG0A9CKXQ","1-Sided-ER_FI",1.55,0.76
"A2BK45LZGGWPLX","NS-ER",0.81,0.88
"A2BW6WD7LZ9EGV","1-Sided-DT_FI",1.69,0.92
"A2BZY06YRWGEDL","1-Sided-psse",2.4,0.68
"A2BZY06YRWGEDL","2-Sided-pesse_FI",1.42,0.7
"A2C4Z939OAKJJP","1-Sided-DT_FI",0.28,0.84
"A2C73Y1COWCA51","2-SidedDT",1.49,0.78
"A2C7A6E70NYNUI","2-Sided-pesse_FI",0.43,0.62
"A2C7TMRC2QHTIW","1-Sided-DT_FI",0.67,0.76
"A2C7TMRC2QHTIW","2-Sided-NN",1.15,0.52
"A2C7TMRC2QHTIW","2-SidedDT",1.83,0.56
"A2C84POENS2UNY","1-Sided-psse",2.03,0.62
"A2C84POENS2UNY","2-Sided-LR",2.91,0.72
"A2C84POENS2UNY","2-Sided-NN",0.8,0.8
"A2C84QVRK3KG57","1-Sided-CogSig",1.71,0.78
"A2C9N7WI4099RT","1-Sided-DT_FI",2.77,0.82
"A2CCK1JKX48R0H","NS-ER",2.9,0.74
"A2CF2BD4Q0ZDJN","2-SidedDT",1.03,0.82
"A2CF2BD4Q0ZDJN","NS-ER",3,0.68
"A2CJYS92WX7HN6","1-Sided-DT_FI",0.23,0.66
"A2CJYS92WX7HN6","1-Sided-psse",0.77,0.62
"A2CJYS92WX7HN6","2-Sided-pesse_FI",0.1,0.68
"A2CSENNI43N272","1-Sided-CogSig",2.63,0.82
"A2D4RUOUUAE91I","2-Sided-LR",1.41,0.82
"A2DHKTD1GSBXR2","1-Sided-psse",1.15,0.76
"A2DVV59R1CQU6T","2-Sided-NN",1.05,0.7
"A2E3TO92MCQ9XU","1-Sided-psse_FI",2.2,0.9
"A2E5PZUD6W4OA1","NS",0.18,1
"A2EA2PN47ZWILX","1-Sided-psse_FI",2.98,0.8
"A2EED3HLTA96CP","2-Sided-LR",0.61,0.76
"A2EHH2ZFIRF1BF","2-Sided-NN",2.03,0.78
"A2EJ7U3TZAKROG","1-Sided-CogSig",0.53,0.72
"A2EOOF9D135HQ1","2-SidedDT",2.25,0.72
"A2EPBSY0VPI38S","2-SidedDT",2.84,0.74
"A2EZNZ6X58RTNR","1-Sided-psse",2.81,0.6
"A2F7YQ7VUKHDZV","1-Sided-psse_FI",2.25,0.7
"A2F93SIUUV5HQH","1-Sided-CogSig",0.25,0.7
"A2F93SIUUV5HQH","2-Sided-LR",0.22,0.6
"A2FARB7LA24AU8","1-Sided-CogSig",1.01,0.88
"A2FARB7LA24AU8","1-Sided-DT_FI",0.84,0.82
"A2FARB7LA24AU8","2-Sided-pesse_FI",2.93,0.92
"A2FE0I7W269C1C","NS-ER",1.83,0.9
"A2FUPODRRCESB","2-Sided-pesse_FI",0.17,0.88
"A2FVW2SCF5WKKH","1-Sided-ER_FI",2.93,0.82
"A2FX289DJSA2A6","2-Sided-NN",1.64,0.88
"A2FYQIZWV2UJHS","NS",0.67,0.94
"A2G0HRT8HS9HRZ","NS",1.64,0.76
"A2G7N0X0PNX0EE","NS-ER",2.89,0.7
"A2GG7HIO2OIXUR","1-Sided-psse_FI",2.46,0.8
"A2GK11SPBF73C6","1-Sided-ER_FI",1.51,0.8
"A2GOYSTIL3LOV1","1-Sided-ER_FI",2.6,0.72
"A2GV9WSNSPX53","1-Sided-psse",0.47,0.72
"A2GV9WSNSPX53","2-Sided-LR",1.37,0.8
"A2H91DERNK3CAL","NS-ER",1.41,0.78
"A2HA52MJN7CTLM","1-Sided-DT_FI",0.42,0.78
"A2HGZOXZ36XKRI","1-Sided-psse",1.08,0.52
"A2HHKBW8HQWI66","2-Sided-pesse_FI",0.23,0.84
"A2HHKBW8HQWI66","NS",0.23,0.88
"A2HT5WWG71M3XY","1-Sided-ER_FI",2.09,0.66
"A2HTW9VQ1SJTF2","1-Sided-DT_FI",2.19,0.9
"A2I3Y0L38HMQLZ","1-Sided-psse_FI",2.52,0.54
"A2I6ZS386UJVJE","1-Sided-psse",1.92,0.76
"A2I6ZS386UJVJE","NS-ER",1.8,0.6
"A2IGPW784OFV3D","2-Sided-pesse_FI",0.95,0.96
"A2IKPU88PDQTMF","2-Sided-pesse_FI",0.23,0.8
"A2IKSCWK5EOG79","2-SidedDT",0.1,0.8
"A2IVGLOBFOT67M","2-SidedDT",0.21,0.78
"A2J8IMRYEO6ZIM","1-Sided-DT_FI",1.82,0.86
"A2J9AHXZBB37XU","1-Sided-psse_FI",1.1,0.7
"A2J9AHXZBB37XU","2-Sided-NN",0.82,0.8
"A2JCHN90PRUWDH","1-Sided-CogSig",1.11,0.66
"A2JMTDHBGV5DKF","NS-ER",2.12,0.74
"A2JOHICL072IY3","2-Sided-LR",1.03,0.76
"A2JP9IKRHNLRPI","2-Sided-pesse_FI",1.38,0.64
"A2JP9IKRHNLRPI","NS-ER",2.92,0.68
"A2K1ILRTCP7H3T","1-Sided-psse",1.31,0.68
"A2KR0B9H93THZS","1-Sided-DT_FI",0.31,0.88
"A2KW26KE43UBRS","2-Sided-LR",2.41,0.66
"A2LF84L3K71GR2","2-Sided-pesse_FI",0.21,0.8
"A2LMQ4497NMK3S","1-Sided-psse",0.13,0.76
"A2LR1HKNOVDTJ8","1-Sided-CogSig",2.62,0.5
"A2LU259QPV1I4V","1-Sided-psse",2.7,0.58
"A2LU259QPV1I4V","2-Sided-LR",2.85,0.7
"A2M3KQ9CKP7YW","1-Sided-CogSig",1.57,0.76
"A2M45YGLOWMO4N","2-SidedDT",2.87,0.52
"A2M45YGLOWMO4N","NS-ER",2.95,0.68
"A2M72F8KER9L71","1-Sided-psse_FI",0.19,0.78
"A2M9EE6KTM8F8I","2-Sided-LR",0.15,0.82
"A2MCG5W6LHSRG9","1-Sided-ER_FI",1.4,0.88
"A2MCG5W6LHSRG9","2-Sided-LR",1.93,0.84
"A2MW2KLUNJ5SF8","NS",0.16,0.8
"A2N2GFB33ZMYGF","1-Sided-ER_FI",2.66,0.86
"A2NAKIXS3DVGAA","1-Sided-psse_FI",1.6,0.64
"A2NGMLBFZ3YQP5","2-SidedDT",2.66,0.74
"A2NJ6AR78O07FD","2-Sided-LR",0.69,0.7
"A2NY4882G47O1C","2-Sided-NN",1.72,0.78
"A2O7V3NTBF9RRE","2-Sided-NN",0.96,0.78
"A2OBIS4QF3VXZT","2-Sided-NN",2.61,0.7
"A2OLV2OTG16BB5","1-Sided-psse_FI",1.34,0.48
"A2OMK2IWY4DCUY","1-Sided-ER_FI",1.61,0.72
"A2ONILC0LZKG6Y","1-Sided-psse_FI",1.56,0.74
"A2OTDMCV8CZWML","1-Sided-ER_FI",3,0.86
"A2OU924AC8XCYC","2-SidedDT",0.18,0.94
"A2OXTS31LD48BC","1-Sided-psse",2.83,0.66
"A2P065E9CYMYJL","NS",0.13,0.96
"A2P4UAMRGH6INU","1-Sided-psse",0.86,0.8
"A2P53AN2M8IWFP","1-Sided-psse",2.31,0.5
"A2P53AN2M8IWFP","2-Sided-LR",0.12,0.74
"A2P76QVLSGJR45","1-Sided-psse_FI",0.58,0.76
"A2PBRGT71DUYOY","1-Sided-psse_FI",2.6,0.72
"A2PH0UQ0MMS6XJ","2-Sided-NN",0.89,0.74
"A2PPGKY9LRYIQA","2-Sided-LR",2.3,0.72
"A2PZG5F8RIESH9","2-Sided-pesse_FI",1.51,0.66
"A2PZG5F8RIESH9","NS",0.13,0.82
"A2PZG5F8RIESH9","NS-ER",1.22,0.78
"A2Q1BZPQ1BFPSM","1-Sided-ER_FI",2.1,0.7
"A2QKM3JUFWBSMO","NS",0.16,0.78
"A2QMHQXR8K4VJ2","1-Sided-psse_FI",0.52,0.76
"A2QMHQXR8K4VJ2","2-Sided-pesse_FI",2.32,0.84
"A2R40R4O6G0YBY","2-SidedDT",0.73,0.76
"A2R6RDZ07V4KWB","NS",0.49,0.86
"A2R89RXGEVG05I","1-Sided-CogSig",1.42,0.76
"A2R8IV2PWFTY00","1-Sided-psse_FI",0.1,0.72
"A2R9OK4M877ZCC","NS-ER",1.38,0.68
"A2RCYLKY072XXO","2-SidedDT",2.25,0.9
"A2RHE12CJSKCRE","1-Sided-DT_FI",1.95,0.84
"A2RHE12CJSKCRE","2-Sided-NN",0.72,0.72
"A2RVEG53L48BAE","2-SidedDT",2.45,0.84
"A2RWLFIP23FZA7","1-Sided-CogSig",1.24,0.74
"A2RWM6YBCOMWRQ","2-SidedDT",2.97,0.7
"A2S75O867RJG0I","2-Sided-pesse_FI",0.63,0.6
"A2S8ZTPKX3B928","2-Sided-LR",0.21,0.74
"A2SF0TUK6XTPCO","2-Sided-LR",0.68,0.74
"A2SF0TUK6XTPCO","NS-ER",3,0.66
"A2SKXKH9YXZYRI","1-Sided-DT_FI",2.97,0.62
"A2SKXKH9YXZYRI","1-Sided-psse_FI",0.86,0.92
"A2SKXKH9YXZYRI","2-Sided-NN",0.27,0.88
"A2SSDWL47X3DXF","2-Sided-NN",2.92,0.72
"A2SSTHMYQU3ITB","NS-ER",0.76,0.8
"A2T11H7YI7QPGD","1-Sided-CogSig",1.56,0.56
"A2T11H7YI7QPGD","2-Sided-pesse_FI",1.42,0.48
"A2T2HFUJP04DWD","1-Sided-DT_FI",0.29,0.86
"A2T2RV6G8AMC7Y","NS-ER",2.92,0.7
"A2T3TJEHWXHH7U","1-Sided-CogSig",2.03,0.58
"A2TBXASXZIRNNW","2-Sided-NN",1.4,0.78
"A2TBXASXZIRNNW","2-SidedDT",0.8,0.84
"A2TBXASXZIRNNW","NS-ER",0.88,0.66
"A2TDEX0T7XEPLU","1-Sided-CogSig",1.76,0.74
"A2TN6KP3ZKGOU7","1-Sided-ER_FI",1.24,0.84
"A2TVJTQ4VXATE6","1-Sided-psse",0.76,0.8
"A2TVJTQ4VXATE6","2-Sided-pesse_FI",0.19,0.8
"A2USG1JP96FTV","2-Sided-NN",2.79,0.8
"A2UTDZAZV1DF0N","1-Sided-psse",2.44,0.66
"A2V35L3RIRYYXV","1-Sided-psse_FI",2.49,0.74
"A2V3ECGQQYNO85","1-Sided-psse",2.27,0.7
"A2V3ECGQQYNO85","2-SidedDT",2.96,0.62
"A2V5E94MHIR821","2-SidedDT",2.85,0.74
"A2VBSFSJXLZZ7A","2-Sided-pesse_FI",2.91,0.76
"A2VBSFSJXLZZ7A","NS",0.23,0.92
"A2VBSFSJXLZZ7A","NS-ER",2.25,0.7
"A2VDBWIHWE1SVD","1-Sided-CogSig",2.14,0.76
"A2VM2EU6AHX5IC","1-Sided-ER_FI",1.52,0.82
"A2VRDE2FHCBMF8","2-Sided-NN",2.7,0.62
"A2VUAAJHX6ROS9","NS",0.3,0.72
"A2W2JO7BHDFP6Z","1-Sided-DT_FI",0.74,0.66
"A2W355OIAMEPCY","2-Sided-pesse_FI",2.21,0.82
"A2W3I2GBGDB637","1-Sided-psse",0.2,0.76
"A2W3KKNN3CAY66","2-Sided-NN",0.16,0.78
"A2W8TJXW68442D","NS",0.26,0.92
"A2WAQLPXT615HQ","1-Sided-psse",2.98,0.62
"A2WC2NO555XU3J","1-Sided-CogSig",1.61,0.88
"A2WC2NO555XU3J","2-Sided-pesse_FI",0.31,0.74
"A2WD7K61WGL37E","1-Sided-ER_FI",1.84,0.94
"A2WGW5Y3ZFBDEC","NS-ER",2.66,0.7
"A2WHC086WNUQNB","2-Sided-pesse_FI",1.27,0.68
"A2WNVSJ1Y06SS1","NS",0.46,0.68
"A2WWYVKGZZXBOB","1-Sided-psse",2.1,0.64
"A2WYCY1FMQOD5F","1-Sided-psse",0.52,0.7
"A2XHD64QUKA5Z6","2-Sided-NN",0.89,0.84
"A2XHD64QUKA5Z6","2-SidedDT",0.6,0.72
"A2XHD64QUKA5Z6","NS-ER",0.91,0.66
"A2XLTGDI5Q0VD","1-Sided-psse",1.85,0.68
"A2XQ3CFB5HT2ZQ","2-Sided-NN",2.23,0.78
"A2XQ3CFB5HT2ZQ","2-Sided-pesse_FI",0.16,0.82
"A2XUADP5L61HQ5","2-Sided-pesse_FI",1.78,0.74
"A2XUADP5L61HQ5","NS",0.22,0.82
"A2XVL0RNQMWI17","NS",0.25,0.86
"A2YC6KXIBSZRI","1-Sided-CogSig",0.22,0.72
"A2YCMT5BPA0AG9","2-Sided-LR",1.83,0.7
"A2YCMT5BPA0AG9","NS",0.46,0.54
"A2YDA5EGPSTMCC","1-Sided-DT_FI",0.13,0.8
"A2YGAEODJ5SSF6","2-Sided-pesse_FI",1.39,0.82
"A2YGAEODJ5SSF6","NS",0.67,0.68
"A2YGVZ7TQ20JOI","1-Sided-CogSig",2.41,0.76
"A2YJZYTC8WOIZT","1-Sided-CogSig",1.48,0.66
"A2YM550H2AL6JO","NS-ER",2.96,0.66
"A2YQBBAK7NBZHU","1-Sided-CogSig",1.42,0.48
"A2YVC1U50H2B4R","2-Sided-pesse_FI",1.11,0.82
"A2YVC1U50H2B4R","NS",0.52,1
"A2Z750U1HCWVEE","1-Sided-psse_FI",2.94,0.8
"A2Z96TK65BB7LC","NS",0.62,0.96
"A2ZJAEL03VTZ8","2-Sided-LR",1.22,0.76
"A2ZNOMZ35LKY8Q","1-Sided-ER_FI",0.87,0.6
"A2ZRXNYIRVSC9V","1-Sided-ER_FI",0.51,0.78
"A304UJAE051J89","1-Sided-CogSig",2.96,0.66
"A308FEI88TJ8WV","1-Sided-psse",2.28,0.6
"A30F1NPCF53CRE","1-Sided-DT_FI",2.83,0.7
"A30J4IZCMCR31F","1-Sided-DT_FI",0.53,0.84
"A30JAB32VBO3CD","1-Sided-ER_FI",0.25,0.9
"A30KV6CIGNH3E5","NS-ER",1.44,0.7
"A30KYQGABO7JER","1-Sided-ER_FI",2.61,0.84
"A30NWLRPW1XUSH","2-Sided-NN",1.36,0.98
"A3152I7PKN85C6","2-Sided-LR",0.11,0.8
"A31681CCEVDIH3","1-Sided-CogSig",2.99,0.58
"A3180VXVP8MOIH","1-Sided-CogSig",2.88,0.68
"A31908QXT8U4A0","2-Sided-NN",2.35,0.66
"A31MUX0WVEC6XU","NS",0.15,0.76
"A320QA9HJFUOZO","1-Sided-psse_FI",2.85,0.8
"A320QA9HJFUOZO","2-Sided-pesse_FI",1.1,0.8
"A324AD5U1SV0OA","1-Sided-DT_FI",2.06,0.86
"A324AD5U1SV0OA","NS",1.18,0.58
"A326O3VWP8TO8N","2-SidedDT",0.3,0.58
"A326O3VWP8TO8N","NS",0.26,0.92
"A326O3VWP8TO8N","NS-ER",1.67,0.68
"A32CRWJESR6AX4","NS",0.87,0.9
"A32IYSFNRLTVXD","1-Sided-ER_FI",1.95,0.82
"A32QJF67JMJFKX","1-Sided-ER_FI",0.61,0.72
"A32QJF67JMJFKX","2-Sided-pesse_FI",1.44,0.64
"A32QJF67JMJFKX","NS",0.6,1
"A32QWM7BWCSPTS","1-Sided-psse",0.1,0.8
"A32TGAK321JDFF","1-Sided-psse_FI",2.68,0.76
"A32U64W0S9PUA3","2-Sided-LR",1.38,0.76
"A32WRKFJFVE0YT","1-Sided-psse_FI",0.2,0.62
"A336V7IY38Q2WN","1-Sided-CogSig",1.28,0.72
"A33M7EZ72P8TWF","1-Sided-ER_FI",2.27,0.72
"A33QUS4NRVVMTN","NS",0.23,0.88
"A33QXQVY6GU1FI","1-Sided-CogSig",2.43,0.8
"A33SKY7HS5PDT6","NS",0.34,0.84
"A340UGIDGIF4W6","2-Sided-LR",0.43,0.66
"A34142ZT9A8DJQ","1-Sided-DT_FI",2.91,0.9
"A346UAH34GVOZX","1-Sided-DT_FI",1.02,0.8
"A34930YXVQ8SUT","2-Sided-LR",0.64,0.9
"A34CDAXB2IMLDP","2-Sided-pesse_FI",1.14,0.68
"A34DR0CVUBDL1N","NS-ER",2.92,0.72
"A34FOMRRI5KYCY","1-Sided-psse_FI",0.3,0.82
"A34KQ63D7LNBRL","1-Sided-ER_FI",1.61,0.78
"A34UER5ZQ5APMB","1-Sided-psse_FI",0.86,0.48
"A351LMMMFYPM7U","2-SidedDT",0.26,0.86
"A358YR7MWC6LRH","2-Sided-LR",0.59,0.8
"A35NM2285DUAFH","2-Sided-LR",1.35,0.7
"A35NM2285DUAFH","NS",0.23,0.96
"A35QZFRG4FKK3Z","2-Sided-LR",2.69,0.62
"A35T0SNF90U1W5","1-Sided-ER_FI",0.4,0.84
"A366MTQY0JG0EM","1-Sided-psse",1.45,0.76
"A366TZDVJK02PN","2-SidedDT",1.19,0.7
"A3686GG56DXS8W","1-Sided-CogSig",2.87,0.58
"A3696JXTRKL2FI","NS-ER",2.98,0.66
"A36MEZ1Y8KLTGY","1-Sided-ER_FI",2.36,0.78
"A36SM7QM8OK3H6","2-Sided-pesse_FI",2.2,0.68
"A36TE52PSYAAD6","1-Sided-psse",0.28,0.84
"A376BI2RNUIFRH","2-Sided-LR",2.48,0.64
"A3774HPOUKYTX7","2-Sided-NN",2.83,0.7
"A37GZS4XOXI203","NS-ER",2.94,0.66
"A37S96RT1P1IT2","2-Sided-pesse_FI",0.34,0.78
"A37S96RT1P1IT2","NS",0.11,0.94
"A37XJVQF62ZYC","1-Sided-DT_FI",0.96,0.88
"A383U9YJIBG4IA","1-Sided-ER_FI",1.91,0.72
"A3843S9LWPDN2K","2-Sided-pesse_FI",1.89,0.78
"A38IB23GPSEKY1","1-Sided-DT_FI",0.25,0.7
"A38OYO6BYY7F7J","2-Sided-NN",2,0.78
"A38QGJJOZANQ4B","1-Sided-DT_FI",2.98,0.78
"A3914P24XPNPY3","1-Sided-psse_FI",0.55,0.64
"A3914P24XPNPY3","NS-ER",2.82,0.88
"A39C20H5MYEUFS","NS-ER",1.28,0.76
"A39C210BKD7YNN","NS",0.27,0.92
"A39DNHD26OMN4Q","2-Sided-pesse_FI",2.72,0.56
"A39DNHD26OMN4Q","NS-ER",1.61,0.76
"A39GADIK8RLMVC","1-Sided-psse",2.97,0.6
"A39GADIK8RLMVC","2-Sided-pesse_FI",0.11,0.8
"A39GADIK8RLMVC","NS-ER",2.87,0.78
"A39OHDOT1ZMSQL","1-Sided-CogSig",2.65,0.72
"A39Q4SNT7SRK94","NS-ER",2.98,0.66
"A39XQI36EWJLDJ","1-Sided-psse",0.6,0.68
"A3A82EHCZOQ2CV","1-Sided-CogSig",0.59,0.58
"A3A8P4UR9A0DWQ","2-Sided-pesse_FI",1.27,0.76
"A3AFC26CB0AXMI","2-Sided-LR",1.83,0.52
"A3AGU4FBSDDVYS","1-Sided-ER_FI",1.95,0.86
"A3AKN5NEDUH04O","2-Sided-NN",2.42,0.66
"A3ANJRMHMVC97K","1-Sided-DT_FI",2.77,0.66
"A3APMO8WXVH1V0","2-SidedDT",0.14,0.86
"A3ATI41BEKDE0I","1-Sided-CogSig",2.57,0.6
"A3B7TNVOISSZ2O","2-Sided-NN",2.35,0.86
"A3B8DP6KHMP3OS","2-Sided-LR",2.44,0.74
"A3BFMY5OX2WMUW","2-SidedDT",2.96,0.7
"A3BFMY5OX2WMUW","NS-ER",2.2,0.8
"A3BXT78QXFC6F3","1-Sided-CogSig",2.74,0.78
"A3C0LPVN749UF3","1-Sided-CogSig",0.12,0.92
"A3C1U769G160ZE","1-Sided-ER_FI",1.93,0.88
"A3C5G8LGIAW0XL","1-Sided-ER_FI",2.91,0.88
"A3C5G8LGIAW0XL","2-Sided-NN",1.05,0.78
"A3C7COPV48I37D","2-Sided-NN",1.9,0.84
"A3CDJ8PZX578GQ","NS-ER",2.92,0.68
"A3CF8ULBSE8MTL","2-SidedDT",1.18,0.68
"A3CH1Z6J9R38G9","1-Sided-CogSig",0.17,0.74
"A3CSUQJ3WF1BKP","2-Sided-NN",0.52,0.76
"A3CWEIEY3TGJFX","1-Sided-psse_FI",2.6,0.8
"A3CWEN6Y21V7TL","1-Sided-CogSig",0.87,0.76
"A3CWYWKQXX4RIZ","2-Sided-LR",0.7,0.74
"A3CXK1KSRGU27V","1-Sided-DT_FI",0.26,0.88
"A3CXK1KSRGU27V","2-Sided-pesse_FI",0.38,0.7
"A3D3NEQ158WUB0","2-Sided-pesse_FI",0.78,0.62
"A3D70ANCSMGX5F","1-Sided-psse_FI",2.32,0.68
"A3D70ANCSMGX5F","NS-ER",2.9,0.82
"A3D95WOVC1R775","1-Sided-DT_FI",0.41,0.88
"A3D95WOVC1R775","1-Sided-psse",0.12,0.78
"A3DCGKISDE1HWO","2-Sided-pesse_FI",0.21,0.82
"A3DFJV1RD653DQ","NS",0.37,0.78
"A3EAUAU8V3B5S7","1-Sided-psse",0.28,0.68
"A3F0NFNLOLFJT0","NS-ER",2.78,0.82
"A3FC0TDAK5QY1G","1-Sided-ER_FI",2.76,0.66
"A3FCZNB9E8K3CX","1-Sided-CogSig",3,0.52
"A3FCZNB9E8K3CX","NS-ER",2.54,0.7
"A3FJCLBK3HF4PD","2-SidedDT",1.19,0.64
"A3FOKP72T5I4FR","2-Sided-pesse_FI",0.76,0.76
"A3FOL78K2EQYVN","1-Sided-ER_FI",2.24,0.72
"A3FUKCYLQ1ED8U","1-Sided-ER_FI",2.14,0.7
"A3G5IPGLH1IIZN","2-Sided-LR",1.74,0.8
"A3G6L97AX9KR7F","1-Sided-CogSig",0.18,0.92
"A3G6L97AX9KR7F","1-Sided-ER_FI",0.37,0.94
"A3G6L97AX9KR7F","NS",0.62,0.98
"A3GAQNTZ1V1VO","1-Sided-CogSig",0.61,0.72
"A3GAQNTZ1V1VO","2-Sided-LR",1,0.74
"A3GDUZQGHRXUJI","1-Sided-psse_FI",0.97,0.68
"A3GEL5PWFIK05S","1-Sided-ER_FI",0.72,0.84
"A3GEL5PWFIK05S","1-Sided-psse_FI",3,0.8
"A3GEL5PWFIK05S","2-Sided-pesse_FI",0.1,0.88
"A3GIIL73GE2CBQ","2-Sided-LR",2.6,0.72
"A3H32595TVJ34Q","NS",0.17,0.88
"A3HIO96PK1JA03","1-Sided-ER_FI",1.2,0.64
"A3HMDGRGC5JB7E","2-Sided-pesse_FI",2.67,0.74
"A3HTLXAPOBCVVO","1-Sided-ER_FI",2.35,0.78
