"Mturk_id","Condition","decay_value","SyncRate_Value"
"A3HW4QDJB63OQ2","2-Sided-NN",2.07,0.82
"A3HW4QDJB63OQ2","NS-ER",2.96,0.68
"A3IFVDB03R6463","1-Sided-ER_FI",2.64,0.82
"A3IGZ3N6TNPXUU","2-Sided-LR",2.57,0.86
"A3IGZ3N6TNPXUU","NS",0.17,0.94
"A3IS28VQS5T5DE","2-Sided-NN",0.38,0.88
"A3J0IAI8AJBGKX","1-Sided-CogSig",1.94,0.72
"A3J2CI4J5V3MLP","1-Sided-ER_FI",2.12,0.9
"A3J55BJGV95JKH","1-Sided-DT_FI",2.49,0.86
"A3JLE2LJ5I17E2","NS",1.59,0.7
"A3K6DL4PN98CBN","2-Sided-pesse_FI",0.51,0.8
"A3KC385CZNYEG5","2-Sided-NN",2,0.76
"A3KCUB6P3IE8NL","NS-ER",2.98,0.7
"A3KH1OG87C8DCM","NS-ER",2.84,0.78
"A3KKXA7COL5JHL","1-Sided-psse_FI",1.5,0.52
"A3KVW46MTHGOZS","NS",0.89,0.88
"A3L0DCUXI7X3A9","1-Sided-DT_FI",3,0.94
"A3L1DZWXQFWB90","2-Sided-NN",0.44,0.7
"A3L2FPKRD46FRW","NS-ER",1.32,0.84
"A3L2UB07EZJAMD","1-Sided-DT_FI",1.36,0.74
"A3L4JI1S352HB8","1-Sided-DT_FI",1.05,0.76
"A3L60SOWLYEDN2","1-Sided-CogSig",1.45,0.82
"A3L8LSM7V7KX3T","1-Sided-ER_FI",0.82,0.84
"A3L8LSM7V7KX3T","1-Sided-psse_FI",1.93,0.88
"A3L8LSM7V7KX3T","2-SidedDT",2.33,0.56
"A3LA5P3N3KI8U7","2-Sided-pesse_FI",0.17,0.9
"A3LECJA9RVQQKZ","1-Sided-psse_FI",2.48,0.76
"A3LFB7XLW00Q61","1-Sided-psse",2.33,0.84
"A3LIOY7C4ZDQ50","1-Sided-psse",1.47,0.76
"A3LIOY7C4ZDQ50","2-Sided-LR",0.48,0.76
"A3LL096CAY5WHB","2-Sided-pesse_FI",1.65,0.72
"A3LL096CAY5WHB","NS-ER",2.23,0.78
"A3LRZX8477TYYZ","2-SidedDT",1.87,0.68
"A3LSG8J12TDMNF","2-SidedDT",0.28,0.76
"A3LT7W355XOAKF","1-Sided-psse_FI",0.49,0.8
"A3LT7W355XOAKF","2-Sided-LR",0.34,0.74
"A3LT7W355XOAKF","2-Sided-NN",1.29,0.8
"A3M4T4G9YA061U","1-Sided-psse_FI",1.18,0.7
"A3M88KA3AW07B3","NS",0.34,0.94
"A3MD34XEB4H6JF","NS-ER",2.98,0.68
"A3MFK5UEUG95M3","1-Sided-psse",2.26,0.8
"A3MFK5UEUG95M3","2-Sided-LR",0.84,0.6
"A3MGRRX8BSEII5","2-Sided-NN",1.15,0.68
"A3MHKFOJIXO7QN","2-SidedDT",2.17,0.8
"A3MHKFOJIXO7QN","NS-ER",3,0.66
"A3ML7X12VHUVUN","NS",0.88,0.92
"A3MXB3R0R9G9TA","NS-ER",2.97,0.68
"A3MYTEE8WSEQ2Z","1-Sided-psse_FI",0.3,0.78
"A3N3GGRTTDFKLF","2-Sided-LR",1.4,0.7
"A3N3LHDJHLHLTQ","1-Sided-CogSig",2.62,0.76
"A3N3LHDJHLHLTQ","1-Sided-DT_FI",0.78,0.72
"A3N3LHDJHLHLTQ","NS",0.15,0.92
"A3NHJPE6326P9V","2-Sided-pesse_FI",0.46,0.9
"A3NPYIGN1MP121","1-Sided-psse_FI",0.32,0.6
"A3NQ988D43B0JW","NS",0.21,0.6
"A3O7X46E3REM7I","1-Sided-CogSig",0.65,0.78
"A3OB6REG5CGHK1","1-Sided-DT_FI",0.2,0.9
"A3OB6REG5CGHK1","2-Sided-LR",2.88,0.68
"A3OIRNX4OPUWC1","NS-ER",1.92,0.7
"A3OSOSJF0NZBSE","NS-ER",2.98,0.68
"A3OVGQIGX8BAB4","1-Sided-CogSig",0.38,0.72
"A3PBS8Q8B9TZY8","NS",0.14,0.84
"A3PFJ6NJJQJDP3","1-Sided-psse_FI",2.54,0.66
"A3PQ0KHESAZZ0Y","1-Sided-psse",1.21,0.68
"A3PVIRB9JTIZHJ","1-Sided-psse_FI",0.43,0.8
"A3QA0Y16Q4273V","1-Sided-DT_FI",0.44,0.72
"A3QL8ZAD9BKWUF","2-Sided-pesse_FI",0.98,0.82
"A3QL8ZAD9BKWUF","NS",1.16,0.58
"A3QL8ZAD9BKWUF","NS-ER",2.65,0.7
"A3QLGMZOLGMBQ1","2-SidedDT",2.75,0.66
"A3QSJY1FFN0N6V","2-Sided-pesse_FI",0.23,0.9
"A3QUGJF2AN8TF2","NS",0.24,1
"A3R0H6P1CWK8UU","1-Sided-ER_FI",2.84,0.8
"A3R0TIQBS9FK5Y","2-SidedDT",2.93,0.76
"A3R457FAWQXZN3","2-Sided-LR",2.61,0.8
"A3RBA581BHJDR8","NS-ER",2.97,0.68
"A3RCX3IQ8L6HHW","2-Sided-LR",2.77,0.74
"A3RDH0U2H6JCBC","1-Sided-psse",0.16,0.58
"A3RDH0U2H6JCBC","2-Sided-LR",0.93,0.6
"A3RQN5RZD1N2KP","2-Sided-NN",0.55,0.7
"A3RR85PK3AV9TU","2-Sided-NN",0.28,0.74
"A3RR85PK3AV9TU","2-Sided-pesse_FI",0.93,0.78
"A3RR85PK3AV9TU","NS-ER",3,0.66
"A3RVHUY67SVXQV","1-Sided-DT_FI",1.45,0.86
"A3RW1RI9S5BXB2","1-Sided-DT_FI",1.94,0.66
"A3RYI5HXC2MJLN","1-Sided-psse",0.33,0.64
"A3S1TLYMH9WWUG","2-Sided-LR",1.34,0.92
"A3SWT9MJCQTORQ","2-Sided-NN",2.44,0.74
"A3SXRD6C8AMKKR","1-Sided-psse",0.53,0.78
"A3T3XXV4VDXPAG","2-Sided-NN",2.02,0.72
"A3T61LJ1WNOL6Z","2-Sided-NN",2.71,0.64
"A3T9C1USL4V4IJ","1-Sided-ER_FI",2.2,0.74
"A3TBOHEHKXYV6C","1-Sided-CogSig",1.15,0.78
"A3THWD0SB3FI2U","2-Sided-pesse_FI",2.91,0.82
"A3TK7HVFEKB00R","NS",0.66,0.88
"A3TOUB8313BPVS","2-Sided-LR",2.95,0.46
"A3TUV36R7RR04T","2-Sided-LR",0.4,0.84
"A3U0VQ420HIMQ0","2-Sided-pesse_FI",2.07,0.76
"A3U21PUMQ6NGT2","2-Sided-pesse_FI",2.62,0.78
"A3U3L1XQYR362A","1-Sided-DT_FI",0.87,0.84
"A3U74S280Z4B0","1-Sided-psse",0.23,0.74
"A3UEJQ4EJB9DBD","1-Sided-psse_FI",0.4,0.66
"A3UEJQ4EJB9DBD","NS-ER",1.76,0.8
"A3UV55HC87DO9C","2-Sided-NN",1.23,0.78
"A3VB6VI2TU4FID","2-SidedDT",2.36,0.78
"A3VENK02U0X16N","1-Sided-psse_FI",2.26,0.72
"A3VHDQR8A9JJ4F","2-SidedDT",2.32,0.74
"A3VIQ9XPOYB8K6","1-Sided-psse_FI",0.11,0.74
"A3VTOW7WLPTBRR","1-Sided-CogSig",1.51,0.86
"A3VTW0XT1KY8GD","1-Sided-ER_FI",1.4,0.58
"A3W2YF5RJ6R01N","1-Sided-CogSig",1.96,0.74
"A3W6T1WDYXMR3","2-SidedDT",0.46,0.58
"A3X3UFGLKM36R","2-Sided-LR",0.33,0.78
"A44GF72UX2T66","2-Sided-NN",0.48,0.6
"A4CHLWPHZIP7Y","1-Sided-DT_FI",2.64,0.86
"A4E1UYPDHE8D8","2-SidedDT",0.22,0.8
"A4J4GGMKJ68L0","1-Sided-CogSig",1.46,0.82
"A4J4GGMKJ68L0","2-Sided-LR",2.84,0.76
"A4UIXESOEZI05","2-Sided-pesse_FI",1.11,0.78
"A4ZPIPBDO624H","NS",0.45,0.86
"A50K26F2IS94U","1-Sided-DT_FI",0.29,0.94
"A52FUUEDGSZT9","1-Sided-psse",0.11,0.92
"A53WVYONK6B9Q","2-Sided-NN",2.66,0.62
"A5B73N9C2HVEG","1-Sided-psse_FI",1.81,0.8
"A5BMKZRGHNSRT","NS-ER",2.85,0.68
"A5LLSZG8YCAZF","2-SidedDT",0.79,0.74
"A5NE8TWS8ZV7B","1-Sided-DT_FI",2.84,0.84
"A5NHP0N1XC09K","NS-ER",1.12,0.84
"A63U6I4JM5APR","2-SidedDT",0.34,0.64
"A6EJ7EU0KMGPL","2-Sided-LR",0.54,0.7
"A6EJ7EU0KMGPL","2-Sided-NN",2.2,0.76
"A6EJ7EU0KMGPL","NS",0.37,0.9
"A6FE2ZQNFW12V","2-Sided-NN",2.26,0.72
"A6JKKANO7F4KD","1-Sided-psse_FI",0.39,0.76
"A6JKKANO7F4KD","2-SidedDT",0.38,0.8
"A7I3G380E29VE","1-Sided-psse",0.49,0.76
"A7KLTVEIASF4J","2-Sided-pesse_FI",0.19,0.94
"A7KLTVEIASF4J","NS",0.45,0.84
"A7SXWHGK8B40R","2-SidedDT",2.51,0.88
"A7ZS8X42Y68IW","1-Sided-psse_FI",0.3,0.86
"A88DXNDGDUWEN","1-Sided-ER_FI",0.37,0.84
"A89R5XGMHOTJE","1-Sided-psse_FI",0.19,0.64
"A89R5XGMHOTJE","2-Sided-pesse_FI",2.21,0.72
"A8FLNGDLNJCUU","2-SidedDT",0.14,0.78
"A8KX1HFH8NE2Q","1-Sided-psse_FI",0.97,0.8
"A8VFIXE5FL8C6","2-Sided-pesse_FI",0.53,0.74
"A8VFIXE5FL8C6","NS-ER",2.72,0.74
"A90JBLDKW71DX","1-Sided-psse",1.96,0.64
"A90JBLDKW71DX","2-Sided-LR",0.88,0.68
"A9A2IX3OBORBE","2-Sided-pesse_FI",0.49,0.82
"A9HQ3E0F2AGVO","1-Sided-psse",1.07,0.8
"A9HQ3E0F2AGVO","2-Sided-LR",2.07,0.76
"A9HQ3E0F2AGVO","2-Sided-NN",2.75,0.76
"A9WIOFVRSYW3L","1-Sided-CogSig",1.74,0.82
"A9WIOFVRSYW3L","1-Sided-DT_FI",1.85,0.96
"A9ZCY6FLUCIU","1-Sided-DT_FI",2.95,0.84
"A9ZCY6FLUCIU1","2-Sided-LR",1.13,0.58
"AA4D4WHT4HBYW","1-Sided-psse",0.15,0.64
"AA4D4WHT4HBYW","2-Sided-LR",0.27,0.66
"AA4JYAPLYB6QT","2-Sided-LR",2.97,0.8
"AA4KKLIU4C3NY","1-Sided-psse",0.44,0.78
"AA4KKLIU4C3NY","2-Sided-pesse_FI",0.2,0.78
"AAASQIW3J32OL","NS",0.24,1
"AADRVG2QVZH75","1-Sided-CogSig",1.16,0.58
"AAHZCL4LIPCBQ","2-SidedDT",2.13,0.6
"AAIQLE701DI9U","1-Sided-DT_FI",0.54,0.72
"AAIQLE701DI9U","2-SidedDT",2.94,0.52
"AAM0Q3DCSSQ0A","2-Sided-NN",2.21,0.84
"AAQREZOK13OV7","NS",0.11,0.86
"AB0ERVDNMMLYS","NS-ER",1.11,0.72
"AB88F6FKYB3PL","1-Sided-DT_FI",2.67,0.86
"ABL3H3O3BI8ZD","1-Sided-psse_FI",1.3,0.7
"ABL81LYVZUKYE","1-Sided-CogSig",1.21,0.8
"ABLP1KUWW46S6","NS-ER",2.68,0.72
"ABMPX2Y2IRBMG","2-Sided-LR",2.37,0.78
"ABMX8XUNPR3LP","1-Sided-psse_FI",0.41,0.7
"ABQ4JY52NCREZ","1-Sided-DT_FI",2.17,0.92
"AC05CZ95ORIMY","2-Sided-pesse_FI",2.63,0.68
"AC5UD8N187QD6","2-Sided-NN",1.5,0.64
"ACA6KEYX1WRUZ","NS",0.33,0.96
"ACAJFF4MF5S5X","1-Sided-DT_FI",1.95,0.88
"ACDX50KGPE97I","1-Sided-ER_FI",0.74,0.96
"ACN0C9HPYDTED","2-Sided-NN",0.17,0.88
"ACON9O9NMFOHE","2-Sided-pesse_FI",2.53,0.68
"ACVJ6IUO9QM4R","1-Sided-psse_FI",2.47,0.7
"ACVJ6IUO9QM4R","2-Sided-LR",1.7,0.7
"AD21ES5UMD77U","1-Sided-CogSig",1.06,0.74
"ADGH08WUP68ZF","NS-ER",2.91,0.64
"ADZHJZ078THWQ","1-Sided-psse",0.12,0.82
"AE1YA7Q3UKPRI","2-SidedDT",0.61,0.78
"AEF94JKX6FG92","1-Sided-ER_FI",2.45,0.64
"AEI5USUUPBU2G","2-Sided-pesse_FI",0.22,0.8
"AEO84PDSWW0W  ","2-SidedDT",0.76,0.84
"AEOFJWOEXF94U","2-Sided-LR",0.32,0.6
"AEPHQ3XYCQ0CG","1-Sided-psse",2.6,0.66
"AETIZKQNUSBLB","2-Sided-LR",2.32,0.74
"AEWGY34WUIA32","1-Sided-DT_FI",0.4,0.72
"AEWPAZBYA7XE","1-Sided-psse",0.49,0.54
"AEWPAZBYA7XE","2-SidedDT",0.48,0.64
"AFCMHQWCV6N02","2-Sided-NN",2.44,0.74
"AFF7IQ7FXCDE5","1-Sided-psse",1.3,0.78
"AFMMLXBWU6O1L","2-Sided-LR",0.12,0.7
"AFU00NU09CFXE","1-Sided-DT_FI",0.2,0.7
"AFUX7IUQOE0NA","2-Sided-NN",0.24,0.68
"AGC3T6724JUAF","2-Sided-NN",0.61,0.78
"AGDJB8B8CDZ71","2-SidedDT",2.86,0.66
"AGMJL8K9OMU64","NS-ER",2.68,0.82
"AGVUHOBSCP6YC","1-Sided-psse",1.25,0.58
"AH00EJ6PK1H3A","1-Sided-DT_FI",1.62,0.92
"AHDW0M4017Z8K","1-Sided-psse",1.49,0.66
"AHDW0M4017Z8K","2-SidedDT",0.23,0.7
"AHIM8PGYOIN0K","1-Sided-psse_FI",0.9,0.62
"AHKRGPN5D3I2G","1-Sided-psse_FI",2.84,0.74
"AHKRGPN5D3I2G","NS-ER",2.36,0.84
"AI6U09NVOZ62B","2-Sided-pesse_FI",1.54,0.74
"AID8YP4RJSCNU","2-Sided-NN",2.82,0.7
"AILDNTO2TWB4A","1-Sided-CogSig",0.77,0.7
"AIPHJXQEDNW9L","1-Sided-ER_FI",0.88,0.8
"AIQT0DPRTXYYD","1-Sided-psse_FI",2.04,0.8
"AIQT0DPRTXYYD","2-Sided-LR",2.7,0.76
"AIZTLQM7HHQN6","NS",0.2,0.92
"AJFB5KQLNYW03","1-Sided-ER_FI",2.7,0.84
"AJFJ6VXZJKSXD","2-Sided-pesse_FI",1.45,0.84
"AJFJ6VXZJKSXD","NS-ER",0.68,0.72
"AJG4Y1OT9N50T","NS-ER",2.7,0.72
"AJW3PL5UDH4BP","1-Sided-DT_FI",2.41,0.8
"AJWES6SFIP3AT","1-Sided-psse_FI",2.92,0.46
"AJXIC6Q5EM76P","2-Sided-LR",0.62,0.8
"AK3H5QRAROFGP","1-Sided-psse",0.7,0.6
"AK3H5QRAROFGP","2-Sided-NN",1.59,0.76
"AK4PVAUX4PWT1","2-Sided-NN",2.53,0.58
"AK77EA1UZ8KJG","NS-ER",3,0.68
"AK7NIT4IJ8X6D","2-SidedDT",0.69,0.56
"AK7NIT4IJ8X6D","NS",0.51,0.92
"AKB82TCYUECWD","1-Sided-DT_FI",2.97,0.9
"AKHH4W14A6AN9","1-Sided-psse_FI",2.79,0.74
"AKHH4W14A6AN9","NS-ER",0.66,0.86
"AKNYT1NTK2UFK","1-Sided-ER_FI",2.44,0.88
"AKNYT1NTK2UFK","NS",0.13,0.98
"AKZ8SFOAI4RZN","1-Sided-ER_FI",1.3,0.9
"AKZ8SFOAI4RZN","NS",0.3,0.9
"AL7UTA8J27TFK","2-Sided-LR",0.59,0.64
"AL83KKXUORS9Y","2-Sided-LR",1.56,0.7
"ALDKDKRBR4LXD","2-SidedDT",0.25,0.66
"ALDQRWYZ8KQ9A","1-Sided-psse_FI",0.69,0.82
"ALKQPW0O9C98N","2-SidedDT",2.03,0.66
"ALQNVZVHUYFIQ","2-Sided-LR",2.77,0.74
"ALZVG5501Y5IX","NS-ER",2.94,0.66
"AM8OWAW9TUVLN","1-Sided-psse",2.68,0.76
"AMDX0UNZS4A1G","1-Sided-psse_FI",0.2,0.74
"AMPMTF5IAAMK8","1-Sided-ER_FI",2.08,0.86
"AMSAIACF91GM3","2-Sided-LR",0.63,0.7
"AMYURTQIMAC8T","2-Sided-LR",0.6,0.8
"ANCZKVA6A7IIB","1-Sided-DT_FI",2.2,0.74
"ANEM435BSW3XU","NS",0.34,0.52
"ANJML6J7NL7CX","1-Sided-psse",1.26,0.76
"ANKDLLQHHM2OH","1-Sided-CogSig",2.02,0.56
"ANPCXN619ACW9","2-Sided-LR",0.3,0.78
"ANUG05IDFTWF","1-Sided-psse",2.8,0.56
"ANZR2DCSMD0NX","2-Sided-NN",2.59,0.78
"AOAZMLP27GD81","1-Sided-DT_FI",0.1,0.88
"AOAZMLP27GD81","1-Sided-psse",2.4,0.68
"AOKTAHY4F4J2B","1-Sided-psse",1.89,0.64
"AOOGCOBAZBWJ2","2-Sided-NN",1.45,0.7
"AOOLS8280CL0Z","1-Sided-DT_FI",2.47,0.58
"AORHBSAJE0GP4","1-Sided-psse",1.76,0.8
"AOY0S460FQI1T","1-Sided-CogSig",2.42,0.6
"AOZUMS41I24QI","2-Sided-NN",2.14,0.76
"APEE4S9XXSMGC","1-Sided-CogSig",1.25,0.78
"APGUE1GWCW0MX","NS",0.2,0.82
"APITQRRX2PADB","1-Sided-DT_FI",2.86,0.92
"APLBF6JY2C1QZ","2-Sided-LR",1.38,0.68
"APOLV05EJ6XVQ","2-Sided-LR",0.22,0.88
"APRZ7BR8C0ZMQ","1-Sided-CogSig",0.51,0.78
"APRZ7BR8C0ZMQ","NS-ER",2.81,0.78
"APY5858P6BTDY","NS-ER",2.68,0.86
"AQ0UYN7D6FU3F","NS",0.18,0.72
"AQAXDL1INQC9Q","2-Sided-LR",1.58,0.88
"AQC0SZA1E9QO7","1-Sided-CogSig",2.88,0.74
"AQJWO4YPR3LUQ","2-Sided-LR",2.21,0.7
"AQKB8JSBEMXK9","1-Sided-DT_FI",0.27,0.86
"AQM940W1VBAG6","NS-ER",2.94,0.76
"AQOXSP4W3ITSW","1-Sided-ER_FI",0.99,0.76
"AQOXSP4W3ITSW","2-Sided-NN",2.29,0.46
"AQP4PHYDXRBPI","1-Sided-psse_FI",0.42,0.72
"AQP4PHYDXRBPI","2-SidedDT",0.38,0.9
"AQVQHML14YYJH","1-Sided-DT_FI",0.63,0.9
"AR1IWBDA7MC86","2-Sided-NN",1.12,0.86
"AR3KLO7WU84JJ","1-Sided-ER_FI",2.77,0.6
"AR4UI9K92BUT3","1-Sided-CogSig",1.91,0.7
"AR4UI9K92BUT3","1-Sided-psse",2.64,0.6
"AR4XFM7G1W0VQ","1-Sided-CogSig",0.64,0.64
"AR5LYXBO5D982","NS-ER",2.96,0.86
"AR8O1107OAW4V","2-SidedDT",0.19,0.84
"ARLGZWN6W91WD","2-Sided-pesse_FI",1.4,0.88
"ARYEH1BMQCKXQ","1-Sided-DT_FI",2.08,0.92
"ARYVMA9T9WLRK","1-Sided-ER_FI",0.43,0.8
"AS2WTWYVRW9BV","1-Sided-psse_FI",0.57,0.72
"ASF5V3K4IFP4K","1-Sided-CogSig",2.99,0.64
"ASI2B6A3Y556Z","1-Sided-psse_FI",2.64,0.72
"ASS0YATH0WK3R","1-Sided-CogSig",2.32,0.74
"AT0COJ1G23ZB0","1-Sided-psse_FI",2.39,0.7
"AT3C00TKZK13L","1-Sided-ER_FI",1.56,0.72
"AT6OT5K5Z4V0J","2-SidedDT",0.57,0.76
"AT9C1PB6JVCG6","1-Sided-DT_FI",0.37,0.82
"ATC7B8C99BD26","2-Sided-LR",1.62,0.78
"ATCU3JC12ZH0N","2-Sided-pesse_FI",2.91,0.64
"ATCU3JC12ZH0N","NS-ER",2.62,0.66
"ATF7HBD1TFI2U","NS",0.16,0.9
"ATRA715A9GRL7","1-Sided-DT_FI",0.3,0.74
"ATSZCAVI441RM","1-Sided-DT_FI",1.39,0.8
"ATSZCAVI441RM","1-Sided-psse_FI",2.12,0.56
"AU2RMH9IZP60M","2-SidedDT",1.6,0.78
"AU7A3QNJF3O00","1-Sided-psse_FI",2.01,0.72
"AUCHGHY1IKZZK","2-Sided-pesse_FI",0.27,0.72
"AUFOO8PU2BK37","1-Sided-ER_FI",2.97,0.7
"AUFOO8PU2BK37","1-Sided-psse",1.63,0.7
"AUFOO8PU2BK37","2-Sided-NN",1,0.64
"AURYD2FH3FUOQ","1-Sided-ER_FI",1.61,0.82
"AUSDM3KALROGI","1-Sided-CogSig",2.52,0.62
"AUTYWXILTACCR","2-Sided-NN",2.27,0.7
"AV22FQTJNBUZT","1-Sided-ER_FI",1.82,0.7
"AV22FQTJNBUZT","2-Sided-NN",0.15,0.78
"AV7UX8QQXABSK","1-Sided-psse",0.19,0.74
"AVC1PLLFS210S","2-Sided-NN",0.6,0.68
"AVI7K876BV3QL","2-Sided-NN",1.37,0.74
"AVI7K876BV3QL","NS",0.35,0.8
"AVI7K876BV3QL","NS-ER",1.28,0.84
"AVNXCGTZQ1CFK","2-Sided-LR",0.62,0.86
"AVPCUQOQEPTCI","2-Sided-LR",2.35,0.78
"AVUCJU0PCJ7X3","1-Sided-CogSig",0.26,0.8
"AVX3SWFMBEPMZ","1-Sided-psse_FI",0.12,0.9
"AW0K78T4I2T72","NS",0.25,0.88
"AW0MG225VXWCN","1-Sided-CogSig",0.97,0.8
"AW0MG225VXWCN","1-Sided-ER_FI",0.13,0.78
"AW0MG225VXWCN","2-Sided-LR",2.63,0.74
"AW0MG225VXWCN","NS",0.77,0.88
"AW45SZDR1C2VS","1-Sided-psse_FI",0.79,0.8
"AWDU600NXZ26L","1-Sided-psse",2.26,0.68
"AWEUAV2UW15NK","2-Sided-NN",0.42,0.72
"AWJUGWPCUGKEG","2-Sided-NN",1.15,0.7
"AWK93GL7CJ3FK","1-Sided-DT_FI",0.59,0.9
"AWTGJ45ZWUCHH","NS",0.29,0.72
"AWXIEV9H6KT9E","1-Sided-ER_FI",1.88,0.84
"AWXIEV9H6KT9E","2-SidedDT",2.07,0.74
"AWY6W20U8H3JA","2-Sided-pesse_FI",2.92,0.76
"AWZPYE91AF7KU","2-Sided-NN",0.86,0.8
"AXHFWTX0LTTOP","1-Sided-CogSig",2.58,0.66
"AXJ1PE87PD0KK","1-Sided-ER_FI",1,0.76
"AXKV2UQ5HEG29","2-Sided-NN",0.17,0.74
"AXNPHDXV1GK6Y","1-Sided-ER_FI",1.34,0.8
"AXOAJZBYQYPN7","1-Sided-DT_FI",1.48,0.62
"AXUNP4MWN9K8P","2-SidedDT",0.82,0.72
"AYKZ9H4BNW810","1-Sided-psse",0.41,0.62
"AYPOAY43REHC8","NS",1.37,0.74
"AZ69TBTDH7AZS","2-Sided-LR",1.19,0.66
"AZ69TBTDH7AZS","2-Sided-NN",1.02,0.76
"AZ8JL3QNIPY4U","1-Sided-CogSig",2.96,0.56
"AZ8JL3QNIPY4U","2-SidedDT",2.09,0.8
"AZBH4LJ5SL456","1-Sided-CogSig",2.27,0.8
"AZBH4LJ5SL456","2-Sided-LR",1.08,0.82
"AZNJXR5T3LL6A","1-Sided-ER_FI",1.24,0.8
"AZOF6QSSWG98H","2-Sided-LR",0.1,0.86
"AZOLOOMYRN1K0","2-Sided-NN",0.63,0.74
"AZZA3J049G7R5","1-Sided-psse_FI",2.72,0.74
"AZZA3J049G7R5","2-Sided-NN",0.44,0.7
